status_id,created_at,lang,text
1000000001,2018-01-01T02:04:39Z,en,"Canada good o, electricity is a myth. No regrets. EndSARS BrainDrain"
1000000002,2018-01-01T03:37:43Z,en,"Goodbye Nigeria, there are no jobs. God bless the hustle. Relocation BrainDrain"
1000000003,2018-01-01T05:02:26Z,en,"My mental health comes first, education system is collapsing. I miss the food though. Canada Relocation"
1000000004,2018-01-01T06:23:41Z,en,"Goodbye Nigeria, the insecurity is too much. See you all on the other side. Naija NewBeginnings"
1000000005,2018-01-01T07:12:54Z,en,"To be honest, electricity is a myth. Don't let anyone guilt trip you. ByeByeNigeria Relocation"
1000000006,2018-01-01T08:58:08Z,pcm,"Whatever you do, I am tired of suffering. God bless the hustle. NewBeginnings UK"
1000000007,2018-01-01T09:04:32Z,en,"I can't believe it, the system is rigged. Just happy to be safe. BrainDrain Canada"
1000000008,2018-01-01T09:17:19Z,en,"My mental health comes first, education system is collapsing. I miss the food though. Relocation Nigeria"
1000000009,2018-01-01T09:36:48Z,pcm,"Whatever you do, education system is collapsing. I miss the food though. BrainDrain Nigeria"
1000000010,2018-01-01T12:56:44Z,en,"My watch has ended, there are no jobs. Peace of mind is expensive. ByeByeNigeria NewBeginnings"
1000000011,2018-01-01T13:40:54Z,en,"My watch has ended, I am tired of suffering. I miss the food though. BrainDrain BrainDrain"
1000000012,2018-01-01T15:09:39Z,en,"To be honest, I need a better future for my kids. Starting over is hard but worth it. NewBeginnings BrainDrain"
1000000013,2018-01-01T16:48:13Z,pcm,"To be honest, education system is collapsing. Winter is cold but better than heat. Canada ByeByeNigeria"
1000000014,2018-01-01T17:09:30Z,en,"Just landed, I need a better future for my kids. See you all on the other side. UK Naija"
1000000015,2018-01-01T18:44:37Z,en,"My mental health comes first, I am tired of suffering. Winter is cold but better than heat. EndSARS EndSARS"
1000000016,2018-01-01T19:36:05Z,en,"Man must survive, there are no jobs. See you all on the other side. BrainDrain ByeByeNigeria"
1000000017,2018-01-01T20:40:22Z,pcm,"Finally left, electricity is a myth. Don't let anyone guilt trip you. Relocation EndSARS"
1000000018,2018-01-01T22:46:37Z,en,"Naija don tire me, the insecurity is too much. God bless the hustle. BrainDrain Nigeria"
